ref_text,pred_text,gold_tox,bert_tox,detoxy_tox,wer,cer
"Stephen the First, the first king of Hungary, founded an episcopate there."," stephen i, the first king of hungary, founded an episcopate there.",0,0,0,0.3333333333333333,0.13513513513513514
Are you a hypnotist?, are you a hypnotist?,0,1,1,0.25,0.05
They felt gay when the ship arrived in port., they felt gay when the ship arrived in port.,0,1,1,0.1111111111111111,0.022727272727272728
The rest are of steel lattice construction.," the rest are of steel lattice construction, period.",0,0,0,0.42857142857142855,0.20930232558139536
"Alice, who the fuck is Bob?"," alice, who the fuck is bob?",1,1,1,0.3333333333333333,0.07407407407407407
"Television can make you dumb, but it can also be good education."," television can make you dumb, but it can also be good education.",0,1,1,0.08333333333333333,0.015625
The fool flew all the way up here in a blizzard., the full flew all the way up here in a blizzard.,1,0,0,0.18181818181818182,0.0625
Quit whining!, quit whining.,1,1,1,1.0,0.15384615384615385
A minim is a musical term corresponding to a half note, a minim is a musical term corresponding to a half note.,0,0,0,0.18181818181818182,0.037037037037037035
That damn mouse could sense my anger., that damn mouse could sense my anger.,0,1,1,0.14285714285714285,0.02702702702702703
"No, we don't laminate our business cards."," no, we don't laminate our business cards.",0,0,0,0.14285714285714285,0.024390243902439025
Typical American that can keep his mouth shut., typical american that can keep his mouth shut.,1,1,1,0.25,0.043478260869565216
My children are all scoundrels., my children are all scoundrels.,1,1,1,0.2,0.03225806451612903
"Poor girl, you're worn out."," poor girl, you're worn out.",0,1,1,0.2,0.037037037037037035
What a bummer!, what a bummer.,0,1,1,0.6666666666666666,0.14285714285714285
You're worth more dead than alive., you are worth more dead than alive.,1,1,1,0.3333333333333333,0.08823529411764706
The rest of you get in here and riot!, the rest of you get in here and try it.,0,0,0,0.3333333333333333,0.16216216216216217
During the same year the band's first album was rereleased by Metropolis Records.," during the same year, the band's first album was re-released by metropolis records.",0,0,0,0.38461538461538464,0.06172839506172839
"Pa's miserable, and no wonder!", bar's miserable and no wonder.,1,0,0,0.6,0.13333333333333333
Quit whining!, quit whining.,1,1,1,1.0,0.15384615384615385
Hundreds of yelling people are swarming into the park like locusts!, hundreds of yelling people are swimming into the park like locusts.,1,0,0,0.2727272727272727,0.05970149253731343
You're a sweltering toad!, your result ring tout.,1,0,0,1.0,0.44
"Cotton was consistently a sexist, chauvinistic, violent, abusive and intolerant character."," cotton was consistently a sexist, chauvinistic, violent, abusive and intolerant character.",1,1,1,0.09090909090909091,0.011111111111111112
Let's hope you don't have to vomit., let's hope you don't have to vomit.,0,1,1,0.14285714285714285,0.02857142857142857
One of the worst crooks in town!, one of the worst crooks in town.,0,1,1,0.2857142857142857,0.0625
It is officially part of Torrey Pines State Beach., it is officially part of torrey pines state beach.,0,0,0,0.5555555555555556,0.1
He died the same night., she died the same light.,0,0,0,0.4,0.13043478260869565
Westwood described Hendricks as the embodiment of beauty., westwood described hendricks as the embodiment of beauty.,0,0,0,0.25,0.03508771929824561
The trains are composed of three cars., the trains are composed of three cars.,0,0,0,0.14285714285714285,0.02631578947368421
I'm looking forward to having more stability in my position and being done with the whole process. , i'm looking forward to having more stability in my position and being done with the whole process.,0,0,0,0.058823529411764705,0.01020408163265306
This program communicates with a remote host., this program communicates with a remote host.,0,0,0,0.14285714285714285,0.022222222222222223
You're probably weak from hunger., you're probably weak from hunger.,0,1,1,0.2,0.030303030303030304
eight, eight.,0,0,0,1.0,0.2
"A giant promontory fort is located on the headland of Drumanagh, north of Rush."," a giant promissory fort is located on the headland of drewmonaw, north of rush.",0,0,0,0.2857142857142857,0.13924050632911392
You killed all three of them for nothing., you killed all three of them for nothing.,0,1,1,0.125,0.024390243902439025
"Atlantic sauries live near the surface, and will often jump above the surface.", atlantic stories live near the surface and will often jump above the surface.,0,0,0,0.23076923076923078,0.05128205128205128
According to Captain Bingle it was adopted by the Government of Sir Thomas Brisbane.," according to captain bingo, it was adopted by the government of sir thomas brisbane.",0,0,0,0.5,0.10714285714285714
I think you're crazy., i think you're crazy.,1,1,1,0.25,0.047619047619047616
Put down that chair!, put down that chair.,0,0,0,0.5,0.1
Why can't I skip this damn intro?, why can't i skip this damn intro?,1,1,1,0.2857142857142857,0.06060606060606061
I locked eyes with a fish in the tank., i locked eyes with a fish in the tank.,0,0,0,0.1111111111111111,0.02631578947368421
There will be no cock crow over that, there will be no cockro over that.,0,1,1,0.5,0.1388888888888889
What good is money to you if you're going to die?, what good is money to you if you're going to die?,0,1,1,0.09090909090909091,0.02040816326530612
Why can't I skip this damn intro?, why can't i skip this damn intro?,1,1,1,0.2857142857142857,0.06060606060606061
The township contains the village of Boyne Falls and the Boyne Mountain ski resort., the township contains the village of boyne falls and the boyne mountainski resort.,0,0,0,0.42857142857142855,0.07228915662650602
"Gruven and his band start a landslide, killing and burying many pygmy shrews.", grovan and his band starred in lancelot killing and burying many pygmy shrews.,0,0,0,0.3076923076923077,0.18181818181818182
Alexander materializes on the abandoned satellite which was formerly headquarters of the Justice League., alexander materializes on the abandoned satellite which was formerly headquarters of the justice league.,0,0,0,0.21428571428571427,0.028846153846153848
Todd Mission is served by the Navasota Independent School District., todd mission is served by the navasota independent school district.,0,0,0,0.6,0.08955223880597014
He walked slowly through the market., he walked slowly through the market.,0,0,0,0.16666666666666666,0.027777777777777776
"When their request was denied, the Teutonic women slew their own children."," when their request was denied, the teutonian women slew their own children.",0,1,1,0.16666666666666666,0.05405405405405406
The rest of you get in here and riot!, the rest of you get in here and riot!,0,1,1,0.1111111111111111,0.02702702702702703
"Geologically, this region is similar to the main Cascade Range, dominated by volcanism."," geologically, this region is similar to the main cascade range dominated by volcanism.",0,0,0,0.23076923076923078,0.04597701149425287
What good is money to you if you're going to die?, what good is money to you if you're going to die?,0,1,1,0.09090909090909091,0.02040816326530612
The community was named for railroad surveyor Colonel George Hazlehurst., the community was named for railroad surveyor colonel george hazelhurst.,0,0,0,0.4,0.08333333333333333
The same book that taught me about Urim and Thummim., the same book that taught me about urim and thamim.,0,0,0,0.3,0.09615384615384616
Doesn't anyone else know you're a humbug?, doesn't anyone else know you're a humbug?,1,1,1,0.14285714285714285,0.024390243902439025
What idiot wrote this total drivel?, what hero this dog dribble?,1,0,0,0.8333333333333334,0.4857142857142857
"Subsequently, the abbreviation k.k."," subsequently, the abbreviation kk.",0,0,0,0.5,0.05714285714285714
She publicly defends Hippolytus and Theseus responds by raping and killing her.," she publicly defends hippolytus and thesis, responds by raping and killing her.",0,1,1,0.25,0.0759493670886076
You couldn't even be honest about being dishonest., you couldn't even be honest about being dishonest.,0,0,0,0.125,0.02
He had seen the shooting star and was persuaded that a meteorite lay somewhere nearby., he had seen the shooting stars and was persuaded that a meteorite lay somewhere nearby.,0,0,0,0.13333333333333333,0.023255813953488372
Most modern historians have exonerated Robert Dudley from murder or a cover-up., most modern historians have exonerated robert dudley from the murder or a cover-up.,0,0,0,0.3333333333333333,0.08860759493670886
"However, the rural areas still retain industries such as dairy, vineyards, and stone."," however, the rural areas still retain industries such as dairy, vineyards, and stone.",0,0,0,0.07692307692307693,0.011764705882352941
It seems Rahul had thought everything., it seems rahul had thought everything.,0,0,0,0.3333333333333333,0.05263157894736842
He then returns to kill other members of his unit., he then returns to kill other members of his unit.,0,1,1,0.1,0.02
Many criticized the linear gameplay and the unrealistic artificial intelligence., many criticized the linear gameplay and the unrealistic artificial intelligence.,0,0,0,0.1,0.0125
Give the devil his due, give the devil his due.,0,0,0,0.4,0.09090909090909091
He thought of the woman who had trusted in the desert., he thought of the woman who had trusted in the desert.,0,0,0,0.09090909090909091,0.018518518518518517
"Now, they pass down their language and culture through various songs, games, and stories."," now they pass down their language and cultures through various songs, games, and stories.",0,0,0,0.14285714285714285,0.033707865168539325
"ÔÇÿHe is a dreadful reprobate,ÔÇÖ said Mrs. Weller."," he is a dreadful reprobate, said mrs. weller.",1,1,1,0.5,0.17647058823529413
Don't be a pessimist!, don't be a pessimist.,1,1,1,0.5,0.09523809523809523
Let me comb your hair., let me comb your hair.,0,1,1,0.2,0.045454545454545456
Her purse was full of useless trash., her purse was full of useless trash.,1,1,1,0.14285714285714285,0.027777777777777776
"Penny wise, pound foolish."," pennywise, pound foolish.",1,1,1,0.5,0.07692307692307693
"McCarthy moved to Bernardsville, New Jersey, as a teenager and attended the Pingry School."," maccorsi moved to burnsville, new jersey as a teenager and attended the pingree school.",0,0,0,0.42857142857142855,0.2111111111111111
"He continued to apply pressure, gunning for a knockout."," he continued to apply pressure, gunning for a knockout.",0,0,0,0.1111111111111111,0.01818181818181818
The report was largely scathing., the report was largely scathing.,0,0,0,0.2,0.03125
Take your paws off me!, take your paws off me.,1,0,0,0.4,0.09090909090909091
"Evaluators may encounter complex, culturally specific systems resistant to external evaluation.", evaluators may encounter complex cultural specific systems resistant to external evaluation.,0,0,0,0.2727272727272727,0.042105263157894736
I'm sorry as hell., i'm sorry as hell.,0,0,0,0.25,0.05555555555555555
They then plan on using him to gratify their sexual needs., they then plan on using him to gratify their sexual needs.,0,1,1,0.09090909090909091,0.017241379310344827
Better late thrive than never do well., better late thrive than never do well.,0,0,0,0.14285714285714285,0.02631578947368421
"Security, kick this guy out!"," security, kick this guy out.",1,0,0,0.4,0.07142857142857142
Your behavior is embarrassing; go learn the art of social intercourse!, your behavior is embarrassing. go learn the art of social intercourse.,1,1,1,0.2727272727272727,0.04285714285714286
"Penny wise, pound foolish.", pennywise pound foolish.,1,0,0,0.5,0.11538461538461539
A bully is always a coward., a bully is always a coward.,1,1,1,0.16666666666666666,0.037037037037037035
That insane android continues to ignore me., that insane android continues to ignore me.,1,1,1,0.14285714285714285,0.023255813953488372
He was fatter than ever., he was fatter than ever.,1,1,1,0.2,0.041666666666666664
You're worth more dead than alive., you'll have more death than life.,1,1,1,0.6666666666666666,0.35294117647058826
"The question, jerk!", the question jerk.,1,1,1,1.0,0.15789473684210525
He also operated Skanga Nig., it also operated scan-gony.,0,0,0,0.6,0.35714285714285715
"Teresa, Mildrid, Ralph, and Vonda all arrived yesterday evening."," teresa, milgrid, rolf, and vanda all arrived yesterday evening.",0,0,0,0.4444444444444444,0.140625
"Jeez, you look stoned!"," geez, you look stoned.",1,1,1,0.5,0.09090909090909091
You can lie as snug here as if you were in a moss-hole., you can lie as is done here as if you were in a mouse hole,0,1,1,0.38461538461538464,0.2
Every cock crows loud on his own dunghill, every cock crows loud on its own dung hill.,0,1,1,0.5,0.12195121951219512
Outeiro was the locality where the first inhabitants settled., outereo was the locality where the first inhabitants settled.,0,0,0,0.1111111111111111,0.04918032786885246
Then get out of here., they get out of here.,0,1,1,0.2,0.09523809523809523
"What do you expect from a pig, but a grunt?", what do you expect from a pig but a grunt?,0,1,1,0.2,0.046511627906976744
"It is named after Ugo Fano, an Italian American physicist.", just think that the new girl fan art in the titan marcus business,0,0,0,1.3,0.7758620689655172
Somebody cut us off!, somebody cut us off.,0,0,0,0.5,0.1
In symmetric cryptography the same key is used for encryption and decryption., in symmetric cryptography the same key is used for encryption and decryption.,0,0,0,0.08333333333333333,0.012987012987012988
He's insane or drunk or something., he's insane or drunk or something.,1,1,1,0.16666666666666666,0.029411764705882353
"Party switching also occurs quite commonly in Italy, Ukraine, India, and the Philippines."," party switching also occurs quite commonly in italy, ukraine, india and the philippines.",0,0,0,0.38461538461538464,0.06741573033707865
"Then suddenly, they kneel and die.", then suddenly they kneel and die.,0,1,1,0.3333333333333333,0.058823529411764705
A large piece suddenly came off and fell with a loud and sharp noise., a large piece suddenly came off and fell with a loud and sharp noise.,0,0,0,0.07142857142857142,0.014492753623188406
"Jeez, you look stoned!"," geez, you look stoned.",1,1,1,0.5,0.09090909090909091
"He was born in Torgau, on the Elbe.", he was born in torgau on the elbe.,0,0,0,0.375,0.11428571428571428
One man's meat is another man's poison., one man's meat is another man's poison.,0,1,1,0.14285714285714285,0.02564102564102564
Aggie substitute teaches so she can be available in case of need., aggy substitute teaches so she can be available in case of need.,0,0,0,0.08333333333333333,0.046153846153846156
The goal is to move all knights to the opposite rank., the goal is to move all knights to the opposite rank.,0,0,0,0.09090909090909091,0.018867924528301886
Call a spade a spade., call a speeder speed.,0,0,0,0.8,0.38095238095238093
you're playing with dynamite!, you're playing with dynamite!,0,0,0,0.0,0.0
"Elaine manages to break free from her mother, who then slaps her."," elaine manages to break free from her mother, who then slaps her.",0,1,1,0.08333333333333333,0.015384615384615385
"And the girl pointed to the south, indicating that it was there the strange man lived.", and the girl pointed to the surf indicating that it was there the strange man lived.,0,0,0,0.125,0.05813953488372093
"Lastly, he commissioned the Divine Bell of King Seongdeok, named for his father."," lastly, he commissioned the divine bell of king seon-jong, named for his father.",0,0,0,0.38461538461538464,0.125
"Well, what do you want?"," well, what do you want?",0,0,0,0.2,0.043478260869565216
"After playing tennis in virtual reality, he felt dizzy."," after playing tennis in virtual reality, he felt dizzy.",0,0,0,0.1111111111111111,0.01818181818181818
You killed all three of them for nothing., you killed all three of them for nothing.,0,1,1,0.125,0.024390243902439025
Off with his head!, off with his head,1,1,1,0.5,0.1111111111111111
Or are you deaf?, or are you deaf?,0,1,1,0.25,0.0625
"""What a load of trash"", Sarah opined.", what a load of trash! several opines!,1,1,1,0.5714285714285714,0.2972972972972973
"Buffy, on the other hand is, I hope, not idiotic.", buffy on the other hand is i hope not idiotic.,0,1,1,0.4,0.10204081632653061
"Road: Ingoda, Paranda, Barshi, Kurduvadi, and Karmala are connected by state highways."," road ingoda, paranda, barishi, kodavadi and kamala are connected by state highways.",0,0,0,0.5,0.1511627906976744
"Other Oregon counties were split away, and Wasco was reduced to its current size.", other oregon counties were split away and vasco was reduced to its current size.,0,0,0,0.2857142857142857,0.04938271604938271
"Hey look, a flying pig!"," hey, look a flying pig",0,1,1,0.6,0.17391304347826086
You've got the brain of a pancake., you've got the brain of a pancake.,1,1,1,0.14285714285714285,0.029411764705882353
"He died in San Francisco, and is buried in Lemoore.", he died in san francisco and is buried in la mour.,0,0,0,0.5,0.17647058823529413
Different studies generally find varying values for elemental abundances., different studies generally find varying values for the elemental evidences.,0,0,0,0.3333333333333333,0.136986301369863
What idiot wrote this total drivel?, what idiot wrote this total dribble?,1,1,1,0.3333333333333333,0.11428571428571428
Your behavior is embarrassing; go learn the art of social intercourse!, your behavior is embarrassing. go learn the art of social intercourse.,1,1,1,0.2727272727272727,0.04285714285714286
"I like the avenger of the new episode, he really is a badass."," i like the avenger of the new episode, he really is badass.",0,0,0,0.15384615384615385,0.04918032786885246
"They blow across the world without a birthplace, and with no place to die.", they blow across the world without a birthplace and with no place to die.,0,1,1,0.14285714285714285,0.02702702702702703
"It also had low reaction times and high elevation, with a shells and range.", it also had low reaction times and higher elevation with the shells and range.,0,0,0,0.2857142857142857,0.09333333333333334
"Open the street door, Judy; put these blusterers out!"," open the straight door, judy, put these blasters out.",0,0,0,0.5555555555555556,0.20754716981132076
I'm through listening to you!, i'm through listening to you.,0,0,0,0.4,0.06896551724137931
"Jerk the cord, and out tumbles the gold.", jack the code and outtumble the gold.,0,0,0,0.5,0.175
"But, if you can, try to make your own decisions."," but if you can, try to make your own decisions.",0,0,0,0.1,0.041666666666666664
"Don't try and lick that pole, your tongue will get stuck!"," don't try and lick the pole, your tongue will get stuck.",0,1,1,0.2727272727272727,0.07017543859649122
"She outed herself as lesbian last year, didn't you hear?", she uttered her soul as lesbian last year. didn't you hear?,0,1,1,0.5,0.17857142857142858
Every member of the cast is scuba-certified., every member of the cast is scuba certified.,0,0,0,0.42857142857142855,0.045454545454545456
"Afterwards, he was obliged to apologize for his behaviour."," afterwards, he was obliged to apologize for his behavior.",0,0,0,0.2222222222222222,0.034482758620689655
"Curse the moment I met that old man, he thought."," curse the moment i met the old man, he thought.",0,0,0,0.3,0.08333333333333333
Look what the Chronicle is running on Laura Ben., look what the chronicle is running on lara ben.,0,0,0,0.4444444444444444,0.10416666666666667
Keep your shirt on., thank you sharon.,0,0,0,1.0,0.47368421052631576
Whimsy is a difficult thing to capture., wmc is a difficult thing to capture.,0,0,0,0.14285714285714285,0.1282051282051282
"I want you to take Buna, or not come back alive.", i want you to take pune or not come back alive.,0,0,0,0.18181818181818182,0.08333333333333333
Do you understand that?, do you understand that?,0,0,0,0.25,0.043478260869565216
A woman on a white horse corrals a bull., a woman on a white horse crows a bull.,0,1,1,0.2222222222222222,0.125
What are the externalities associated with setting up a business?, what are the externalities associated with setting up a business?,0,0,0,0.1,0.015384615384615385
"""Bird Girl"" is cast in bronze and stands tall.", bird girl is cast in bronze and stands tall.,0,0,0,0.2222222222222222,0.08695652173913043
Isn't it a little crowded?, isn't it a little crowded?,0,0,0,0.2,0.038461538461538464
What idiot wrote this total drivel?, what idiot wrote this total dremel?,1,1,1,0.3333333333333333,0.08571428571428572
"You're not psychotic, you just wish you were?"," you're not psychotic, you just wish you were.",1,1,1,0.25,0.044444444444444446
"They were ignorant, idle, and vain."," they were ignorant, idle and vain.",1,1,1,0.3333333333333333,0.05714285714285714
Despair is something that haunts us at night., despair is something that haunts us at night.,0,0,0,0.125,0.022222222222222223
"Never advertise razors by shaving a monkey, it's cruel and results in lawsuits."," never advertise razors by shaving a monkey, it's cruel on the results in lawsuits.",0,0,0,0.23076923076923078,0.0759493670886076
The rector is Vaughan Roberts who is also an author and conference speaker., director is von roberts who is also an author and conference speaker.,0,0,0,0.3076923076923077,0.14666666666666667
You know my cousin Angela?, you know my cousin angela?,0,0,0,0.4,0.07692307692307693
I hate her husband ÔÇö I just hate him furiously., i hate her husband. i just hate him furiously.,1,1,1,0.4,0.12244897959183673
Garnet defended his use of equivocation with his own treatise on the doctrine., garnet defended his use of equivocation with his own treatise on the doctrine.,0,0,0,0.07692307692307693,0.01282051282051282
"Conrad refuses, still fearful of what may await outside, and Marcusson dies."," conrad refuses, still fearful of what may await outside, and markison dies.",0,0,0,0.16666666666666666,0.06578947368421052
Then he went off and formed his own grou., then he went off and formed his own go.,0,0,0,0.2222222222222222,0.07317073170731707
You see what will happen., you see what will happen.,0,0,0,0.2,0.04
I'm getting Trevor ready!, i'm getting trevor ready.,0,0,0,0.75,0.12
"Because, boys and ladies and gentlemen, he is a pessimist."," because boys and ladies and gentlemen, he is a pessimist.",1,1,1,0.1,0.034482758620689655
Darth Vader could barely breathe under his mask., that's the way they could barely breathe under his mask.,0,0,0,0.5,0.2708333333333333
The hell you say!, the hell you saying?,1,1,1,0.5,0.29411764705882354
I sold crystal and crossed the desert., i sold crystal and crossed the desert.,0,0,0,0.14285714285714285,0.02631578947368421
"Also, at some points Mel could be incredibly stupid and somewhat ignorant."," also at some points, milk could be incredibly stupid and somewhat ignorant.",1,1,1,0.25,0.08108108108108109
I'll kill both of them!, i'll kill both of them.,1,1,1,0.4,0.08695652173913043
Is this the place?, is this the place?,0,0,0,0.25,0.05555555555555555
Cumulus congestus will mature into cumulonimbus calvus under conditions of sufficient instability., cumulus congestus will mature into cumulonimbus calvas under the conditions of sufficient instability.,0,1,1,0.25,0.061224489795918366
Howard is the largest community in Brown County without transit service., howard is the largest community in brown county without transit service.,0,0,0,0.2727272727272727,0.041666666666666664
Daniel DeLeon and I became friends..., daniel de leon and i became friends.,0,0,0,0.8333333333333334,0.1891891891891892
Your face is red with blood., your face is red with blood.,0,1,1,0.16666666666666666,0.03571428571428571
"He who fights and runs away, lives to fight another day.", he who fights and runs away lives to fight another day.,0,0,0,0.18181818181818182,0.03571428571428571
"The students are all disabled, retarded and of different ages."," the students are all disabled, retarded and of different ages.",1,1,1,0.1,0.016129032258064516
Her schoolÔÇÖs WiFi has a ridiculous amount of websites that are blocked., rascool's wi-fi is a ridiculous amount of websites that are blocked.,0,0,0,0.3333333333333333,0.1643835616438356
This request was denied., this request was denied.,0,0,0,0.25,0.041666666666666664
"Headlam stated his motive as ""concern for the arts and freedom"".", hadlem stated his motive as concerned for the arts and freedom.,0,0,0,0.2727272727272727,0.109375
Do you think your boyfriend is cheating on you?, do you think your boyfriend is cheating on you?,0,1,1,0.1111111111111111,0.02127659574468085
One man's meat is another man's poison., one man's meat is another man's poison.,0,1,1,0.14285714285714285,0.02564102564102564
We're out here till breakfast-time., we're out here till breakfast time.,0,0,0,0.6,0.05714285714285714
I'm going to tell your mother on you., i'm going to tell your mother on you.,0,1,1,0.125,0.02702702702702703
January was hot on the heels of december., january was hot on the heels of december.,0,0,0,0.125,0.024390243902439025
But he kept the sword in his hand., but he kept the sword in his hand.,0,0,0,0.125,0.029411764705882353
"He called to the boy, and they took a walk along the dunes surrounding the encampment.", they called the boy and they took a walk along the dam surrounding the encampment.,0,0,0,0.25,0.12790697674418605
Do you think your boyfriend is cheating on you?, do you think you're bored by these kidding ideas?,0,0,0,0.7777777777777778,0.48936170212765956
I don't believe it., i don't believe it.,0,0,0,0.25,0.05263157894736842
I accuse this man of being a faker!, i accuse this man of being a faker.,1,0,0,0.25,0.05714285714285714
"He was something of a sickly child by all accounts, never made it past his fourth birthday."," he was something of a sickly child by all accounts, never made a pass his fourth birthday.",0,1,1,0.17647058823529413,0.04395604395604396
"""What do you want here today?"" the desert asked him.", what do you want here today? the desert asked him.,0,0,0,0.2,0.057692307692307696
I always take the part of my own sex., i always take the part of my own sex.,0,1,1,0.1111111111111111,0.02702702702702703
Two construction workers trying to mix cement., two construction workers trying to mix cement.,0,0,0,0.14285714285714285,0.021739130434782608
I have to separate out the sulfur., i have to separate it out to sulfur.,0,0,0,0.42857142857142855,0.17647058823529413
A new application for internet banking on the iPad was launched on this occasion., a new application for internet banking on the ipad was launched on this occasion.,0,0,0,0.14285714285714285,0.024691358024691357
The bartender went to the keypad to unlock the entrance to the cellar storeroom., the bartender went to the keypad to unlock the entrance to the cellar store room.,0,0,0,0.21428571428571427,0.025
I think you're crazy., i think you're crazy.,1,1,1,0.25,0.047619047619047616
"""What a load of trash"", Sarah opined.", what a load of trash sarah opened.,1,1,1,0.5714285714285714,0.16216216216216217
A bully is always a coward., a bully is always a coward.,1,1,1,0.16666666666666666,0.037037037037037035
Goats always have a better view., goats always have a better view.,0,0,0,0.16666666666666666,0.03125
In my wildest dream I hadn't thought that this would happen., in my wildest dreams i hadn't thought this would happen.,0,0,0,0.36363636363636365,0.13333333333333333
The smell of burned rags itches my nose., the smell of burn drugs itches my nose.,0,0,0,0.375,0.1
There's a group of unruly teens bumming around in your garden., there's a group of unruly teens bumming around in your garden.,1,1,1,0.09090909090909091,0.016129032258064516
In order to jumpstart a car you are going to need jump leads," in order to jump start a car, you are going to need jump leads.",0,0,0,0.38461538461538464,0.06666666666666667
Might as well be living in a refrigerator., may as well be living in a refugee year.,0,0,0,0.375,0.2857142857142857
Munn and Beach also established a very successful patent agency., monum beach also established a very successful patent agency.,0,0,0,0.3,0.125
A bully is always a coward., a bully is always a coward.,1,1,1,0.16666666666666666,0.037037037037037035
A clown takes the time to greet children attending a performance., a clown takes the time to greet children attending a performance.,0,0,0,0.09090909090909091,0.015384615384615385
Don't try to enter into the life of the oasis., don't try to enter into the life of the eurasis.,0,0,0,0.2,0.08695652173913043
"Then suddenly, they kneel and die.", and suddenly they kneel and die.,0,1,1,0.3333333333333333,0.14705882352941177
"""What do you want here today?"" the desert asked him.", what do you want here today? the desert has him.,0,0,0,0.3,0.1346153846153846
That damn mouse could sense my anger., that then mouse could sense my anger.,0,0,0,0.2857142857142857,0.10810810810810811
"Alice, who the fuck is Bob?", and this was a fuckas pop,1,1,1,1.0,0.6666666666666666
